1436, 20, 12, 13, 13, 43,Fail frog
2977, 12, 16, 28, 64, 239,Success frog 2
4646,Success Mispredict
5573, 19, 22, 0, 0, 0,Fail truck
3, 16, 6, 13, 78, 117,Success ship 0
1839, 22, 4, 0, 0, 131,Fail horse
8106, 8, 12, 0, 1, 0,Fail ship
3780, 11, 14, 5, 245, 251,Fail deer
5569, 7, 23, 0, 0, 75,Fail airplane
6116,Success Mispredict
1795, 19, 30, 255, 255, 255,Fail frog
1167, 16, 16, 237, 98, 112,Success truck 0
6845, 10, 26, 246, 26, 97,Success frog 0
5275, 13, 18, 255, 0, 0,Fail bird
2369, 7, 13, 225, 0, 0,Fail automobile
7433, 14, 20, 69, 255, 1,Success cat 13
1768, 1, 23, 5, 0, 0,Fail bird
9977, 8, 9, 170, 216, 210,Success cat 0
4830, 12, 11, 48, 44, 155,Success dog 0
720, 17, 13, 12, 133, 232,Success horse 1
6680, 5, 15, 62, 0, 0,Fail cat
3486, 9, 25, 0, 151, 255,Fail frog
3030, 13, 14, 255, 0, 0,Fail frog
1916, 5, 21, 255, 0, 89,Fail truck
223, 16, 17, 104, 145, 88,Success cat 0
9246, 24, 21, 0, 255, 255,Fail cat
4658, 18, 16, 32, 181, 34,Fail automobile
1505, 13, 19, 65, 236, 111,Success frog 0
653, 21, 15, 70, 255, 255,Fail frog
1898, 15, 21, 32, 22, 80,Success dog 0
1911, 12, 14, 16, 98, 61,Success frog 0
